year,region,SSP1,SSP2,SSP3,SSP4,SSP5
y1973,LAM,0.593842217244689,0.593842217244689,0.593842217244689,0.593842217244689,0.593842217244689
y1973,OAS,0.229140073302894,0.229140073302894,0.229140073302894,0.229140073302894,0.229140073302894
y1973,SSA,0.194908656066415,0.194908656066415,0.194908656066415,0.194908656066415,0.194908656066415
y1973,EUR,0.667592159339782,0.667592159339782,0.667592159339782,0.667592159339782,0.667592159339782
y1973,NEU,0.447249351978172,0.447249351978172,0.447249351978172,0.447249351978172,0.447249351978172
y1973,MEA,0.425427321159699,0.425427321159699,0.425427321159699,0.425427321159699,0.425427321159699
y1973,REF,0.586417593581886,0.586417593581886,0.586417593581886,0.586417593581886,0.586417593581886
y1973,CAZ,0.792912035208356,0.792912035208356,0.792912035208356,0.792912035208356,0.792912035208356
y1973,CHA,0.188089639411784,0.188089639411784,0.188089639411784,0.188089639411784,0.188089639411784
y1973,IND,0.20653,0.20653,0.20653,0.20653,0.20653
y1973,JPN,0.7422,0.7422,0.7422,0.7422,0.7422
y1973,USA,0.73633,0.73633,0.73633,0.73633,0.73633
y1974,LAM,0.601070534407573,0.601070534407573,0.601070534407573,0.601070534407573,0.601070534407573
y1974,OAS,0.234015465473509,0.234015465473509,0.234015465473509,0.234015465473509,0.234015465473509
y1974,SSA,0.199232206526887,0.199232206526887,0.199232206526887,0.199232206526887,0.199232206526887
y1974,EUR,0.671046079188755,0.671046079188755,0.671046079188755,0.671046079188755,0.671046079188755
y1974,NEU,0.45249656774211,0.45249656774211,0.45249656774211,0.45249656774211,0.45249656774211
y1974,MEA,0.43182886260614,0.43182886260614,0.43182886260614,0.43182886260614,0.43182886260614
y1974,REF,0.593055286844971,0.593055286844971,0.593055286844971,0.593055286844971,0.593055286844971
y1974,CAZ,0.793230157308618,0.793230157308618,0.793230157308618,0.793230157308618,0.793230157308618
y1974,CHA,0.189249566095981,0.189249566095981,0.189249566095981,0.189249566095981,0.189249566095981
y1974,IND,0.20991,0.20991,0.20991,0.20991,0.20991
y1974,JPN,0.74975,0.74975,0.74975,0.74975,0.74975
y1974,USA,0.73643,0.73643,0.73643,0.73643,0.73643
y1975,LAM,0.608295368821161,0.608295368821161,0.608295368821161,0.608295368821161,0.608295368821161
y1975,OAS,0.236008997917379,0.236008997917379,0.236008997917379,0.236008997917379,0.236008997917379
y1975,SSA,0.203635084445586,0.203635084445586,0.203635084445586,0.203635084445586,0.203635084445586
y1975,EUR,0.674112887098279,0.674112887098279,0.674112887098279,0.674112887098279,0.674112887098279
y1975,NEU,0.457667503408483,0.457667503408483,0.457667503408483,0.457667503408483,0.457667503408483
y1975,MEA,0.438162141678103,0.438162141678103,0.438162141678103,0.438162141678103,0.438162141678103
y1975,REF,0.599343208146457,0.599343208146457,0.599343208146457,0.599343208146457,0.599343208146457
y1975,CAZ,0.793290018483215,0.793290018483215,0.793290018483215,0.793290018483215,0.793290018483215
y1975,CHA,0.190406339789282,0.190406339789282,0.190406339789282,0.190406339789282,0.190406339789282
y1975,IND,0.21332,0.21332,0.21332,0.21332,0.21332
y1975,JPN,0.75716,0.75716,0.75716,0.75716,0.75716
y1975,USA,0.73653,0.73653,0.73653,0.73653,0.73653
y1976,LAM,0.615495812691829,0.615495812691829,0.615495812691829,0.615495812691829,0.615495812691829
y1976,OAS,0.241203433518056,0.241203433518056,0.241203433518056,0.241203433518056,0.241203433518056
y1976,SSA,0.208110695891228,0.208110695891228,0.208110695891228,0.208110695891228,0.208110695891228
y1976,EUR,0.676930604302238,0.676930604302238,0.676930604302238,0.676930604302238,0.676930604302238
y1976,NEU,0.461758105330223,0.461758105330223,0.461758105330223,0.461758105330223,0.461758105330223
y1976,MEA,0.44434267948192,0.44434267948192,0.44434267948192,0.44434267948192,0.44434267948192
y1976,REF,0.605595017519673,0.605595017519673,0.605595017519673,0.605595017519673,0.605595017519673
y1976,CAZ,0.793326765425444,0.793326765425444,0.793326765425444,0.793326765425444,0.793326765425444
y1976,CHA,0.191101630846213,0.191101630846213,0.191101630846213,0.191101630846213,0.191101630846213
y1976,IND,0.21677,0.21677,0.21677,0.21677,0.21677
y1976,JPN,0.75944,0.75944,0.75944,0.75944,0.75944
y1976,USA,0.73663,0.73663,0.73663,0.73663,0.73663
y1977,LAM,0.622697475996206,0.622697475996206,0.622697475996206,0.622697475996206,0.622697475996206
y1977,OAS,0.246564242623679,0.246564242623679,0.246564242623679,0.246564242623679,0.246564242623679
y1977,SSA,0.212517697117165,0.212517697117165,0.212517697117165,0.212517697117165,0.212517697117165
y1977,EUR,0.679929424979621,0.679929424979621,0.679929424979621,0.679929424979621,0.679929424979621
y1977,NEU,0.46544436845416,0.46544436845416,0.46544436845416,0.46544436845416,0.46544436845416
y1977,MEA,0.45011372981612,0.45011372981612,0.45011372981612,0.45011372981612,0.45011372981612
y1977,REF,0.611732749079173,0.611732749079173,0.611732749079173,0.611732749079173,0.611732749079173
y1977,CAZ,0.79413093853888,0.79413093853888,0.79413093853888,0.79413093853888,0.79413093853888
y1977,CHA,0.191827430599725,0.191827430599725,0.191827430599725,0.191827430599725,0.191827430599725
y1977,IND,0.22026,0.22026,0.22026,0.22026,0.22026
y1977,JPN,0.76002,0.76002,0.76002,0.76002,0.76002
y1977,USA,0.73673,0.73673,0.73673,0.73673,0.73673
y1978,LAM,0.6298699044628,0.6298699044628,0.6298699044628,0.6298699044628,0.6298699044628
y1978,OAS,0.252053971930076,0.252053971930076,0.252053971930076,0.252053971930076,0.252053971930076
y1978,SSA,0.217037721681792,0.217037721681792,0.217037721681792,0.217037721681792,0.217037721681792
y1978,EUR,0.683015721059372,0.683015721059372,0.683015721059372,0.683015721059372,0.683015721059372
y1978,NEU,0.469264568984233,0.469264568984233,0.469264568984233,0.469264568984233,0.469264568984233
y1978,MEA,0.455674806699686,0.455674806699686,0.455674806699686,0.455674806699686,0.455674806699686
y1978,REF,0.617806320600115,0.617806320600115,0.617806320600115,0.617806320600115,0.617806320600115
y1978,CAZ,0.794971206144527,0.794971206144527,0.794971206144527,0.794971206144527,0.794971206144527
y1978,CHA,0.19569278431051,0.19569278431051,0.19569278431051,0.19569278431051,0.19569278431051
y1978,IND,0.22379,0.22379,0.22379,0.22379,0.22379
y1978,JPN,0.7606,0.7606,0.7606,0.7606,0.7606
y1978,USA,0.73682,0.73682,0.73682,0.73682,0.73682
y1979,LAM,0.636981364912095,0.636981364912095,0.636981364912095,0.636981364912095,0.636981364912095
y1979,OAS,0.257632844266367,0.257632844266367,0.257632844266367,0.257632844266367,0.257632844266367
y1979,SSA,0.221094562105693,0.221094562105693,0.221094562105693,0.221094562105693,0.221094562105693
y1979,EUR,0.686010562261362,0.686010562261362,0.686010562261362,0.686010562261362,0.686010562261362
y1979,NEU,0.473163728616814,0.473163728616814,0.473163728616814,0.473163728616814,0.473163728616814
y1979,MEA,0.46114956955357,0.46114956955357,0.46114956955357,0.46114956955357,0.46114956955357
y1979,REF,0.622900256759196,0.622900256759196,0.622900256759196,0.622900256759196,0.622900256759196
y1979,CAZ,0.795780311301544,0.795780311301544,0.795780311301544,0.795780311301544,0.795780311301544
y1979,CHA,0.202973372821334,0.202973372821334,0.202973372821334,0.202973372821334,0.202973372821334
y1979,IND,0.22736,0.22736,0.22736,0.22736,0.22736
y1979,JPN,0.76118,0.76118,0.76118,0.76118,0.76118
y1979,USA,0.73692,0.73692,0.73692,0.73692,0.73692
y1980,LAM,0.644091952911676,0.644091952911676,0.644091952911676,0.644091952911676,0.644091952911676
y1980,OAS,0.263686701638807,0.263686701638807,0.263686701638807,0.263686701638807,0.263686701638807
y1980,SSA,0.22515651647746,0.22515651647746,0.22515651647746,0.22515651647746,0.22515651647746
y1980,EUR,0.688871906573293,0.688871906573293,0.688871906573293,0.688871906573293,0.688871906573293
y1980,NEU,0.477108425854433,0.477108425854433,0.477108425854433,0.477108425854433,0.477108425854433
y1980,MEA,0.466654437391333,0.466654437391333,0.466654437391333,0.466654437391333,0.466654437391333
y1980,REF,0.626860815562798,0.626860815562798,0.626860815562798,0.626860815562798,0.626860815562798
y1980,CAZ,0.796557243688256,0.796557243688256,0.796557243688256,0.796557243688256,0.796557243688256
y1980,CHA,0.210397140940495,0.210397140940495,0.210397140940495,0.210397140940495,0.210397140940495
y1980,IND,0.23098,0.23098,0.23098,0.23098,0.23098
y1980,JPN,0.76175,0.76175,0.76175,0.76175,0.76175
y1980,USA,0.73738,0.73738,0.73738,0.73738,0.73738
y1981,LAM,0.651037084868961,0.651037084868961,0.651037084868961,0.651037084868961,0.651037084868961
y1981,OAS,0.269946985983695,0.269946985983695,0.269946985983695,0.269946985983695,0.269946985983695
y1981,SSA,0.229632688377289,0.229632688377289,0.229632688377289,0.229632688377289,0.229632688377289
y1981,EUR,0.691349156777096,0.691349156777096,0.691349156777096,0.691349156777096,0.691349156777096
y1981,NEU,0.486803625517911,0.486803625517911,0.486803625517911,0.486803625517911,0.486803625517911
y1981,MEA,0.472200646132033,0.472200646132033,0.472200646132033,0.472200646132033,0.472200646132033
